Time,CO2 Sensor,,,,,,,,
오전 4:41:36,701.00,,,,,,,,
오전 4:41:37,703.00,,,,,,,,
오전 4:41:38,704.00,,,,,,,,
오전 4:41:39,704.00,,,,,,,,
오전 4:41:40,705.00,,,,,,,,
오전 4:41:41,707.00,,,,,,,,
오전 4:41:42,708.00,,,,,,,,
오전 4:41:43,709.00,,,,,,,,
오전 4:41:44,710.00,,,,,,,,
오전 4:41:45,711.00,,,,,,,,
오전 4:41:46,711.00,,,,,,,,
오전 4:41:47,712.00,,,,,,,,
오전 4:41:48,712.00,,,,,,,,
오전 4:41:49,713.00,,,,,,,,
오전 4:41:50,714.00,,,,,,,,
오전 4:41:51,714.00,,,,,,,,
오전 4:41:52,715.00,,,,,,,,
오전 4:41:53,715.00,,,,,,,,
오전 4:41:54,715.00,,,,,,,,
오전 4:41:55,716.00,,,,,,,,
오전 4:41:56,717.00,,,,,,,,
오전 4:41:57,718.00,,,,,,,,
오전 4:41:58,720.00,,,,,,,,
오전 4:41:59,721.00,,,,,,,,
오전 4:42:00,722.00,,,,,,,,
오전 4:42:01,724.00,,,,,,,,
오전 4:42:02,725.00,,,,,,,,
오전 4:42:03,727.00,,,,,,,,
오전 4:42:04,728.00,,,,,,,,
오전 4:42:05,728.00,,,,,,,,
오전 4:42:06,728.00,,,,,,,,
오전 4:42:07,728.00,,,,,,,,
오전 4:42:08,728.00,,,,,,,,
오전 4:42:09,728.00,,,,,,,,
오전 4:42:10,728.00,,,,,,,,
오전 4:42:11,728.00,,,,,,,,
오전 4:42:12,728.00,,,,,,,,
오전 4:42:13,728.00,,,,,,,,
오전 4:42:14,728.00,,,,,,,,
오전 4:42:15,728.00,,,,,,,,
오전 4:42:16,727.00,,,,,,,,
오전 4:42:17,725.00,,,,,,,,
오전 4:42:18,724.00,,,,,,,,
오전 4:42:19,723.00,,,,,,,,
오전 4:42:20,722.00,,,,,,,,
오전 4:42:21,721.00,,,,,,,,
오전 4:42:22,721.00,,,,,,,,
오전 4:42:23,721.00,,,,,,,,
오전 4:42:24,721.00,,,,,,,,
오전 4:42:25,721.00,,,,,,,,
오전 4:42:26,720.00,,,,,,,,
오전 4:42:27,719.00,,,,,,,,
오전 4:42:28,718.00,,,,,,,,
오전 4:42:29,717.00,,,,,,,,
오전 4:42:30,716.00,,,,,,,,
오전 4:42:31,716.00,,,,,,,,
오전 4:42:32,716.00,,,,,,,,
오전 4:42:33,717.00,,,,,,,,
오전 4:42:34,717.00,,,,,,,,
오전 4:42:35,717.00,,,,,,,,
오전 4:42:36,717.00,,,,,,,,
오전 4:42:37,716.00,,,,,,,,
오전 4:42:38,715.00,,,,,,,,
오전 4:42:39,714.00,,,,,,,,
오전 4:42:40,713.00,,,,,,,,
오전 4:42:41,712.00,,,,,,,,
오전 4:42:42,711.00,,,,,,,,
오전 4:42:43,709.00,,,,,,,,
오전 4:42:44,707.00,,,,,,,,
오전 4:42:45,706.00,,,,,,,,
오전 4:42:46,705.00,,,,,,,,
오전 4:42:47,704.00,,,,,,,,
오전 4:42:48,704.00,,,,,,,,
오전 4:42:50,704.00,,,,,,,,
오전 4:42:51,704.00,,,,,,,,
오전 4:42:52,704.00,,,,,,,,
오전 4:42:53,704.00,,,,,,,,
오전 4:42:54,704.00,,,,,,,,
오전 4:42:55,704.00,,,,,,,,
오전 4:42:56,705.00,,,,,,,,
오전 4:42:57,705.00,,,,,,,,
오전 4:42:58,706.00,,,,,,,,
오전 4:42:59,706.00,,,,,,,,
오전 4:43:00,706.00,,,,,,,,
오전 4:43:01,707.00,,,,,,,,
오전 4:43:02,708.00,,,,,,,,
오전 4:43:03,710.00,,,,,,,,
오전 4:43:04,712.00,,,,,,,,
오전 4:43:05,713.00,,,,,,,,
오전 4:43:06,713.00,,,,,,,,
오전 4:43:07,713.00,,,,,,,,
오전 4:43:08,712.00,,,,,,,,
오전 4:43:09,711.00,,,,,,,,
오전 4:43:10,710.00,,,,,,,,
오전 4:43:11,709.00,,,,,,,,
오전 4:43:12,709.00,,,,,,,,
오전 4:43:13,709.00,,,,,,,,
오전 4:43:14,709.00,,,,,,,,
오전 4:43:15,708.00,,,,,,,,
오전 4:43:16,707.00,,,,,,,,
오전 4:43:17,705.00,,,,,,,,
오전 4:43:18,703.00,,,,,,,,
오전 4:43:19,702.00,,,,,,,,
오전 4:43:20,700.00,,,,,,,,
오전 4:43:21,699.00,,,,,,,,
오전 4:43:22,697.00,,,,,,,,
오전 4:43:23,696.00,,,,,,,,
오전 4:43:24,695.00,,,,,,,,
오전 4:43:25,694.00,,,,,,,,
오전 4:43:26,693.00,,,,,,,,
오전 4:43:27,692.00,,,,,,,,
오전 4:43:28,692.00,,,,,,,,
오전 4:43:29,692.00,,,,,,,,
오전 4:43:30,692.00,,,,,,,,
오전 4:43:31,691.00,,,,,,,,
오전 4:43:32,691.00,,,,,,,,
오전 4:43:33,690.00,,,,,,,,
오전 4:43:34,689.00,,,,,,,,
오전 4:43:35,689.00,,,,,,,,
오전 4:43:36,689.00,,,,,,,,
오전 4:43:37,689.00,,,,,,,,
오전 4:43:38,688.00,,,,,,,,
오전 4:43:39,688.00,,,,,,,,
오전 4:43:40,687.00,,,,,,,,
오전 4:43:41,687.00,,,,,,,,
오전 4:43:42,687.00,,,,,,,,
오전 4:43:43,687.00,,,,,,,,
오전 4:43:44,687.00,,,,,,,,
오전 4:43:45,687.00,,,,,,,,
오전 4:43:46,686.00,,,,,,,,
오전 4:43:47,685.00,,,,,,,,
오전 4:43:48,685.00,,,,,,,,
오전 4:43:49,684.00,,,,,,,,
오전 4:43:50,684.00,,,,,,,,
오전 4:43:51,684.00,,,,,,,,
오전 4:43:52,685.00,,,,,,,,
오전 4:43:53,686.00,,,,,,,,
오전 4:43:54,688.00,,,,,,,,
오전 4:43:55,689.00,,,,,,,,
오전 4:43:56,689.00,,,,,,,,
오전 4:43:57,690.00,,,,,,,,
오전 4:43:58,690.00,,,,,,,,
오전 4:43:59,689.00,,,,,,,,
오전 4:44:00,689.00,,,,,,,,
오전 4:44:01,688.00,,,,,,,,
오전 4:44:02,687.00,,,,,,,,
오전 4:44:03,687.00,,,,,,,,
오전 4:44:04,686.00,,,,,,,,
오전 4:44:05,686.00,,,,,,,,
오전 4:44:06,687.00,,,,,,,,
오전 4:44:07,687.00,,,,,,,,
오전 4:44:08,688.00,,,,,,,,
오전 4:44:09,689.00,,,,,,,,
오전 4:44:10,689.00,,,,,,,,
오전 4:44:11,689.00,,,,,,,,
오전 4:44:12,688.00,,,,,,,,
오전 4:44:13,687.00,,,,,,,,
오전 4:44:14,685.00,,,,,,,,
오전 4:44:15,684.00,,,,,,,,
오전 4:44:16,683.00,,,,,,,,
오전 4:44:17,683.00,,,,,,,,
오전 4:44:19,683.00,,,,,,,,
오전 4:44:20,684.00,,,,,,,,
오전 4:44:21,685.00,,,,,,,,
오전 4:44:22,686.00,,,,,,,,
오전 4:44:23,688.00,,,,,,,,
오전 4:44:24,689.00,,,,,,,,
오전 4:44:25,691.00,,,,,,,,
오전 4:44:26,692.00,,,,,,,,
오전 4:44:27,693.00,,,,,,,,
오전 4:44:28,694.00,,,,,,,,
오전 4:44:29,694.00,,,,,,,,
오전 4:44:30,694.00,,,,,,,,
오전 4:44:31,694.00,,,,,,,,
오전 4:44:32,694.00,,,,,,,,
오전 4:44:33,694.00,,,,,,,,
오전 4:44:34,694.00,,,,,,,,
오전 4:44:35,694.00,,,,,,,,
오전 4:44:36,694.00,,,,,,,,
오전 4:44:37,694.00,,,,,,,,
오전 4:44:38,693.00,,,,,,,,
오전 4:44:39,693.00,,,,,,,,
오전 4:44:40,693.00,,,,,,,,
오전 4:44:41,693.00,,,,,,,,
오전 4:44:42,693.00,,,,,,,,
오전 4:44:43,693.00,,,,,,,,
오전 4:44:44,693.00,,,,,,,,
오전 4:44:45,693.00,,,,,,,,
오전 4:44:46,693.00,,,,,,,,
오전 4:44:47,693.00,,,,,,,,
오전 4:44:48,694.00,,,,,,,,
오전 4:44:49,694.00,,,,,,,,
오전 4:44:50,694.00,,,,,,,,
오전 4:44:51,693.00,,,,,,,,
오전 4:44:52,693.00,,,,,,,,
오전 4:44:53,692.00,,,,,,,,
오전 4:44:54,691.00,,,,,,,,
오전 4:44:55,690.00,,,,,,,,
오전 4:44:56,689.00,,,,,,,,
오전 4:44:57,689.00,,,,,,,,
오전 4:44:58,690.00,,,,,,,,
오전 4:44:59,691.00,,,,,,,,
오전 4:45:00,692.00,,,,,,,,
오전 4:45:01,693.00,,,,,,,,
오전 4:45:02,694.00,,,,,,,,
오전 4:45:03,696.00,,,,,,,,
오전 4:45:04,696.00,,,,,,,,
오전 4:45:05,697.00,,,,,,,,
오전 4:45:06,697.00,,,,,,,,
오전 4:45:07,698.00,,,,,,,,
오전 4:45:08,698.00,,,,,,,,
오전 4:45:09,698.00,,,,,,,,
오전 4:45:10,698.00,,,,,,,,
오전 4:45:11,699.00,,,,,,,,
오전 4:45:12,700.00,,,,,,,,
오전 4:45:13,701.00,,,,,,,,
오전 4:45:14,702.00,,,,,,,,
오전 4:45:15,703.00,,,,,,,,
오전 4:45:16,704.00,,,,,,,,
오전 4:45:17,706.00,,,,,,,,
오전 4:45:18,707.00,,,,,,,,
오전 4:45:19,707.00,,,,,,,,
오전 4:45:20,708.00,,,,,,,,
오전 4:45:21,707.00,,,,,,,,
오전 4:45:22,707.00,,,,,,,,
오전 4:45:23,705.00,,,,,,,,
오전 4:45:24,704.00,,,,,,,,
오전 4:45:25,702.00,,,,,,,,
오전 4:45:26,701.00,,,,,,,,
오전 4:45:27,700.00,,,,,,,,
오전 4:45:28,700.00,,,,,,,,
오전 4:45:29,700.00,,,,,,,,
오전 4:45:30,701.00,,,,,,,,
오전 4:45:31,701.00,,,,,,,,
오전 4:45:32,701.00,,,,,,,,
오전 4:45:33,701.00,,,,,,,,
오전 4:45:34,701.00,,,,,,,,
오전 4:45:35,701.00,,,,,,,,
오전 4:45:36,701.00,,,,,,,,
오전 4:45:37,702.00,,,,,,,,
오전 4:45:38,703.00,,,,,,,,
오전 4:45:39,704.00,,,,,,,,
오전 4:45:40,705.00,,,,,,,,
오전 4:45:41,706.00,,,,,,,,
오전 4:45:42,708.00,,,,,,,,
오전 4:45:43,710.00,,,,,,,,
오전 4:45:44,711.00,,,,,,,,
오전 4:45:45,712.00,,,,,,,,
오전 4:45:46,713.00,,,,,,,,
오전 4:45:47,713.00,,,,,,,,
오전 4:45:49,713.00,,,,,,,,
오전 4:45:50,713.00,,,,,,,,
오전 4:45:51,713.00,,,,,,,,
오전 4:45:52,714.00,,,,,,,,
오전 4:45:53,715.00,,,,,,,,
오전 4:45:54,716.00,,,,,,,,
오전 4:45:55,718.00,,,,,,,,
오전 4:45:56,719.00,,,,,,,,
오전 4:45:57,720.00,,,,,,,,
오전 4:45:58,721.00,,,,,,,,
오전 4:45:59,722.00,,,,,,,,
오전 4:46:00,723.00,,,,,,,,
오전 4:46:01,723.00,,,,,,,,
오전 4:46:02,723.00,,,,,,,,
오전 4:46:03,723.00,,,,,,,,
오전 4:46:04,721.00,,,,,,,,
오전 4:46:05,720.00,,,,,,,,
오전 4:46:06,718.00,,,,,,,,
오전 4:46:07,717.00,,,,,,,,
오전 4:46:08,716.00,,,,,,,,
오전 4:46:09,716.00,,,,,,,,
오전 4:46:10,715.00,,,,,,,,
오전 4:46:11,716.00,,,,,,,,
오전 4:46:12,716.00,,,,,,,,
오전 4:46:13,716.00,,,,,,,,
오전 4:46:14,716.00,,,,,,,,
오전 4:46:15,716.00,,,,,,,,
오전 4:46:16,716.00,,,,,,,,
오전 4:46:17,716.00,,,,,,,,
오전 4:46:18,716.00,,,,,,,,
오전 4:46:19,716.00,,,,,,,,
오전 4:46:20,716.00,,,,,,,,
오전 4:46:21,716.00,,,,,,,,
오전 4:46:22,716.00,,,,,,,,
오전 4:46:23,716.00,,,,,,,,
오전 4:46:24,716.00,,,,,,,,
오전 4:46:25,716.00,,,,,,,,
오전 4:46:26,717.00,,,,,,,,
오전 4:46:27,717.00,,,,,,,,
오전 4:46:28,718.00,,,,,,,,
오전 4:46:29,719.00,,,,,,,,
오전 4:46:30,720.00,,,,,,,,
오전 4:46:31,722.00,,,,,,,,
오전 4:46:32,723.00,,,,,,,,
오전 4:46:33,725.00,,,,,,,,
오전 4:46:34,727.00,,,,,,,,
오전 4:46:35,728.00,,,,,,,,
오전 4:46:36,729.00,,,,,,,,
오전 4:46:37,730.00,,,,,,,,
오전 4:46:38,730.00,,,,,,,,
오전 4:46:39,729.00,,,,,,,,
오전 4:46:40,729.00,,,,,,,,
오전 4:46:41,727.00,,,,,,,,
오전 4:46:42,726.00,,,,,,,,
오전 4:46:43,725.00,,,,,,,,
오전 4:46:44,725.00,,,,,,,,
오전 4:46:45,724.00,,,,,,,,
오전 4:46:46,724.00,,,,,,,,
오전 4:46:47,725.00,,,,,,,,
오전 4:46:48,726.00,,,,,,,,
오전 4:46:49,727.00,,,,,,,,
오전 4:46:50,729.00,,,,,,,,
오전 4:46:51,730.00,,,,,,,,
오전 4:46:52,730.00,,,,,,,,
오전 4:46:53,731.00,,,,,,,,
오전 4:46:54,731.00,,,,,,,,
오전 4:46:55,731.00,,,,,,,,
오전 4:46:56,731.00,,,,,,,,
오전 4:46:57,731.00,,,,,,,,
오전 4:46:58,731.00,,,,,,,,
오전 4:46:59,732.00,,,,,,,,
오전 4:47:00,733.00,,,,,,,,
오전 4:47:01,734.00,,,,,,,,
오전 4:47:02,736.00,,,,,,,,
오전 4:47:03,737.00,,,,,,,,
오전 4:47:04,738.00,,,,,,,,
오전 4:47:05,739.00,,,,,,,,
오전 4:47:06,740.00,,,,,,,,
오전 4:47:07,742.00,,,,,,,,
오전 4:47:08,743.00,,,,,,,,
오전 4:47:09,744.00,,,,,,,,
오전 4:47:10,745.00,,,,,,,,
오전 4:47:11,745.00,,,,,,,,
오전 4:47:12,746.00,,,,,,,,
오전 4:47:13,745.00,,,,,,,,
오전 4:47:14,745.00,,,,,,,,
오전 4:47:15,744.00,,,,,,,,
오전 4:47:16,743.00,,,,,,,,
오전 4:47:17,742.00,,,,,,,,
오전 4:47:19,742.00,,,,,,,,
오전 4:47:20,742.00,,,,,,,,
오전 4:47:21,742.00,,,,,,,,
오전 4:47:22,742.00,,,,,,,,
오전 4:47:23,742.00,,,,,,,,
오전 4:47:24,742.00,,,,,,,,
오전 4:47:25,742.00,,,,,,,,
오전 4:47:26,743.00,,,,,,,,
오전 4:47:27,743.00,,,,,,,,
오전 4:47:28,744.00,,,,,,,,
오전 4:47:29,745.00,,,,,,,,
오전 4:47:30,746.00,,,,,,,,
오전 4:47:31,747.00,,,,,,,,
오전 4:47:32,747.00,,,,,,,,
오전 4:47:33,746.00,,,,,,,,
오전 4:47:34,745.00,,,,,,,,
오전 4:47:35,744.00,,,,,,,,
오전 4:47:36,743.00,,,,,,,,
오전 4:47:37,743.00,,,,,,,,
오전 4:47:38,744.00,,,,,,,,
오전 4:47:39,745.00,,,,,,,,
오전 4:47:40,745.00,,,,,,,,
오전 4:47:41,746.00,,,,,,,,
오전 4:47:42,747.00,,,,,,,,
오전 4:47:43,748.00,,,,,,,,
오전 4:47:44,749.00,,,,,,,,
오전 4:47:45,750.00,,,,,,,,
오전 4:47:46,752.00,,,,,,,,
오전 4:47:47,753.00,,,,,,,,
오전 4:47:48,753.00,,,,,,,,
오전 4:47:49,754.00,,,,,,,,
오전 4:47:50,754.00,,,,,,,,
